,0
0,1.0154854390043888
1,1.0109074563555236
2,0.9916100814479561
3,0.9947318958331416
4,1.0008044305105794
5,0.9918546905701416
6,0.9569565672191018
7,0.9679242082350005
8,0.95638939663057
9,0.9649530653376068
10,0.9452740221295088
11,0.9451026745910793
12,0.9558539075146417
13,0.9578970747599134
14,0.9587761985609106
15,0.9573778067772035
16,0.9547152173073906
17,0.9714289095856511
18,0.975447331827791
19,0.9584220687005786
20,0.9457141099915626
21,0.9534717253228401
22,0.9498911647939733
23,0.9605483086340488
24,0.9506672363486186
25,0.9345383697100803
26,0.8711350766476442
27,0.8477048753029265
28,0.8560115695704238
29,0.8766314271374438
30,0.8653952375373897
31,0.8893671741262017
32,0.8582706511508706
33,0.8234951314591511
34,0.7152860342472225
35,0.7605819128058785
36,0.699621611386062
37,0.5983543254612664
38,0.6960389149044158
39,0.6123652500227029
40,0.6442075804506769
41,0.5890020287697373
42,0.5917216548600229
43,0.5755877467166169
44,0.5447792394745189
45,0.5979038500793975
46,0.6370124757433516
47,0.658957683067819
48,0.6241955736944222
49,0.6415177610886328
50,0.6362858906397185
51,0.622511885338952
52,0.6348258105412841
53,0.6104646773784791
54,0.6476403015797753
55,0.6697977616551815
56,0.6856653247227046
57,0.6749187793370107
58,0.6867380894585644
59,0.688053640543339
60,0.6696230479272728
61,0.6513920130763254
62,0.665484174769665
63,0.6511169209868604
64,0.6573327794388296
65,0.656676690164148
66,0.6282043451787488
67,0.6473682990755221
68,0.676340057718804
69,0.6972279748882073
70,0.6711243988292158
71,0.6560894101509165
72,0.6663544420652997
73,0.656938643896358
74,0.6508995373449319
75,0.6838063580885952
76,0.6750573104123564
77,0.6633563999140183
78,0.6568416282285222
79,0.671328301983483
80,0.657221073854162
81,0.6956092088424024
82,0.688390475230292
83,0.6965308835141465
84,0.7040488630086049
85,0.6975417935558832
86,0.7244344437352935
87,0.7136346504215584
88,0.7358240304137812
89,0.7212665874398542
90,0.7281073713635227
91,0.7410810804264447
92,0.7694522859468703
93,0.7847388238605527
94,0.7990708602167444
95,0.8144654292408923
96,0.8392077338642697
97,0.8235986277462879
98,0.7999830936104418
99,0.7820542878478121
100,0.7757283173291006
101,0.794726446756468
102,0.8074961405776593
103,0.8134342342919956
104,0.814652995516423
105,0.801785736821347
106,0.8051927075826412
107,0.7854417040007138
108,0.8017432414298945
109,0.7855493979191932
110,0.8055594612189259
111,0.792657957930914
112,0.7996215192624747
113,0.8067307476068939
114,0.8058238182185059
115,0.8333669617217125
116,0.8163562468185462
117,0.8341689670895137
118,0.8229964931145222
119,0.8336408662617615
120,0.8195870859174531
121,0.8420914221152737
122,0.8537864651801934
123,0.8356637320299686
124,0.8420126818108482
125,0.8428930440941341
