,0
0,1.014920897307127
1,1.0102466492890474
2,0.9913202472882293
3,0.9952782223317893
4,1.0006390448258482
5,0.9927979530854666
6,0.9585898358298247
7,0.9692212875680584
8,0.9569001012278477
9,0.9654407375630981
10,0.9455165083729943
11,0.9451257036230286
12,0.9554355219728553
13,0.9569608962262655
14,0.9563822723199619
15,0.9557143319849171
16,0.953100493716816
17,0.9693240733611612
18,0.9722801416281435
19,0.9550469696880345
20,0.9430729071756667
21,0.9505202643937942
22,0.9460688121034243
23,0.9559861554455517
24,0.9469023090452285
25,0.932133532404284
26,0.8714016578078602
27,0.8467384458696812
28,0.8550955631577425
29,0.8748736810622326
30,0.8642148667265882
31,0.8883076493693177
32,0.8586671649964824
33,0.8263312149917296
34,0.7219372044573941
35,0.7666007578770846
36,0.7058889094031291
37,0.6032632530351886
38,0.7011236233717666
39,0.6163529871685737
40,0.6480405012241675
41,0.5921237991357482
42,0.5975663170832468
43,0.5820946827613769
44,0.5508356072939375
45,0.6038485303043308
46,0.6426570554532046
47,0.6661237451711881
48,0.6312485377680728
49,0.6481005609683061
50,0.6419858811929039
51,0.6276979651468793
52,0.6410366524277449
53,0.6165471268256706
54,0.6538738625405363
55,0.6768546052640698
56,0.6928930937534529
57,0.6818365776256178
58,0.693222416268968
59,0.6946142878147905
60,0.6763022460924675
61,0.6573861226379201
62,0.6712669877898547
63,0.6574627290979044
64,0.6633648581557007
65,0.6622154924860287
66,0.6327996316334219
67,0.6526420988884662
68,0.6824181130612452
69,0.702227579233821
70,0.676024700349561
71,0.6622301335752461
72,0.6728239903298012
73,0.6631267266910229
74,0.655740499400322
75,0.6884525066138364
76,0.6800106443376881
77,0.6676621874360494
78,0.6601952491194668
79,0.6762905342334591
80,0.6617366675227468
81,0.6997304004670586
82,0.6915534163901377
83,0.699768176060573
84,0.7081056061451236
85,0.7018272381838477
86,0.7298036383988799
87,0.7195797340830519
88,0.7426358290251724
89,0.7275600324866298
90,0.7332758385165615
91,0.746416665403488
92,0.7753923802576652
93,0.7909882424458071
94,0.8050539368688945
95,0.8216662135175279
96,0.8471232109594861
97,0.8314176960262113
98,0.8073799822807998
99,0.7893917182938056
100,0.7827385412397583
101,0.801184436939991
102,0.8148379399936747
103,0.8206988067915352
104,0.8224504172966018
105,0.8104144133387537
106,0.8130247054015604
107,0.7932083417279119
108,0.8100341651006565
109,0.7938434995633057
110,0.8138686740987714
111,0.8007813981678229
112,0.8082708343364864
