Model,Sharpe,Drawdown,Return,MSE,MAE,Direction
equal_weight,0.03644168332686918,-0.47289451869327026,1.3063907723708126,,,
lasso_g1_l0.01,0.030941380638443112,-0.46352826091860444,0.6116311586735383,0.0006205221854062015,0.016917734784438764,0.49704383282364933
elastic_g1_l0.01,0.030941380638443112,-0.46352826091860444,0.6116311586735383,0.0006205221854062015,0.016917734784438764,0.49704383282364933
elastic_g1_l0.1,0.030227441756415088,-0.45799439147808807,0.5895477321125173,0.0006205221854062015,0.016917734784438764,0.49704383282364933
lasso_g1_l0.1,0.030227441756415088,-0.45799439147808807,0.5895477321125173,0.0006205221854062015,0.016917734784438764,0.49704383282364933
lasso_g1_l1,0.03014399350956595,-0.4574228328920929,0.5870813671578341,0.0006205221854062015,0.016917734784438764,0.49704383282364933
elastic_g1_l1,0.03014399350956595,-0.4574228328920929,0.5870813671578341,0.0006205221854062015,0.016917734784438764,0.49704383282364933
elastic_g5_l1,0.030115625010018476,-0.45733992122466194,0.586160850020524,0.0006205221854062015,0.016917734784438764,0.49704383282364933
lasso_g5_l1,0.030115625010018476,-0.45733992122466194,0.586160850020524,0.0006205221854062015,0.016917734784438764,0.49704383282364933
ridge_g1_l1,0.030101706202372295,-0.45760188986616573,0.58586824327248,0.0006310771416212298,0.017041137020979473,0.49031600407747195
elastic_g10_l1,0.030080069142085747,-0.4572355733282076,0.585006522906393,0.0006205221854062015,0.016917734784438764,0.49704383282364933
lasso_g10_l1,0.030080069142085747,-0.4572355733282076,0.585006522906393,0.0006205221854062015,0.016917734784438764,0.49704383282364933
ridge_g5_l1,0.03007274940720695,-0.4575195999754886,0.5849302322854972,0.0006310771416212298,0.017041137020979473,0.49031600407747195
ridge_g10_l1,0.030037214384538578,-0.45741512156531633,0.5837785248201361,0.0006310771416212298,0.017041137020979473,0.49031600407747195
lasso_g20_l1,0.030009429016123263,-0.45702333766144837,0.5827187020037137,0.0006205221854062015,0.016917734784438764,0.49704383282364933
elastic_g20_l1,0.030009429016123263,-0.45702333766144837,0.5827187020037137,0.0006205221854062015,0.016917734784438764,0.49704383282364933
ridge_g20_l1,0.029967038781212874,-0.457201597182687,0.5815065710994571,0.0006310771416212298,0.017041137020979473,0.49031600407747195
lasso_g5_l0.1,0.029947316027410614,-0.4571491682350443,0.5804704473132254,0.0006205221854062015,0.016917734784438764,0.49704383282364933
elastic_g5_l0.1,0.029947316027410614,-0.4571491682350443,0.5804704473132254,0.0006205221854062015,0.016917734784438764,0.49704383282364933
ridge_g1_l0.1,0.029795526275990167,-0.4597952492577437,0.5771700077247968,0.0006310771416212298,0.017041137020979473,0.49031600407747195
elastic_g10_l0.1,0.02960732650495377,-0.45613183802642937,0.5695910020782904,0.0006205221854062015,0.016917734784438764,0.49704383282364933
lasso_g10_l0.1,0.02960732650495377,-0.45613183802642937,0.5695910020782904,0.0006205221854062015,0.016917734784438764,0.49704383282364933
ridge_g5_l0.1,0.029519347243760555,-0.45893636140186767,0.5682953146847689,0.0006310771416212298,0.017041137020979473,0.49031600407747195
ridge_g10_l0.1,0.029185607239499433,-0.45789712085055484,0.5576992976747359,0.0006310771416212298,0.017041137020979473,0.49031600407747195
lasso_g20_l0.1,0.028960726727278435,-0.45420659592897633,0.5492966610824119,0.0006205221854062015,0.016917734784438764,0.49704383282364933
elastic_g20_l0.1,0.028960726727278435,-0.45420659592897633,0.5492966610824119,0.0006205221854062015,0.016917734784438764,0.49704383282364933
ridge_g20_l0.1,0.02855267723290703,-0.4559352426772092,0.5379829655917299,0.0006310771416212298,0.017041137020979473,0.49031600407747195
lasso_g5_l0.01,0.028448342437786524,-0.45568932778036264,0.532500962315025,0.0006205221854062015,0.016917734784438764,0.49704383282364933
elastic_g5_l0.01,0.028448342437786524,-0.45568932778036264,0.532500962315025,0.0006205221854062015,0.016917734784438764,0.49704383282364933
lasso_g10_l0.01,0.026025319743464576,-0.44825604938392954,0.462426021500304,0.0006205221854062015,0.016917734784438764,0.49704383282364933
elastic_g10_l0.01,0.026025319743464576,-0.44825604938392954,0.462426021500304,0.0006205221854062015,0.016917734784438764,0.49704383282364933
ridge_g1_l0.01,0.026018113617563916,-0.48799112038699255,0.47232619663807207,0.0006310771416212298,0.017041137020979473,0.49031600407747195
ibov,0.025893034662047697,-0.46815808848136,0.7227279146499568,,,
lasso_g20_l0.01,0.024021054917851874,-0.4386069018627527,0.4079619783173245,0.0006205221854062015,0.016917734784438764,0.49704383282364933
elastic_g20_l0.01,0.024021054917851874,-0.4386069018627527,0.4079619783173245,0.0006205221854062015,0.016917734784438764,0.49704383282364933
ridge_g5_l0.01,0.02362552422000185,-0.4780245704712528,0.4042777766877812,0.0006310771416212298,0.017041137020979473,0.49031600407747195
ridge_g10_l0.01,0.021917969544264143,-0.46740779992326525,0.35903315816337944,0.0006310771416212298,0.017041137020979473,0.49031600407747195
ridge_g20_l0.01,0.020975039176009635,-0.45381965871953256,0.3346295911981383,0.0006310771416212298,0.017041137020979473,0.49031600407747195
