,0
0,1.014964882586989
1,1.0102722118008642
2,0.9912949352054333
3,0.9951005284083476
4,1.0006610819932316
5,0.9927087862194072
6,0.9584447643220192
7,0.9691409724174934
8,0.9569478609646539
9,0.965478684707999
10,0.9456097250261434
11,0.9452287763623697
12,0.9555763517083194
13,0.9571679230006237
14,0.9568364226463176
15,0.9561490019317116
16,0.9536789616042873
17,0.9699143489356327
18,0.9729960286520388
19,0.9557935924916751
20,0.9437354815918678
21,0.9393990110641535
22,0.921757435836784
23,0.9253023520242151
24,0.9304235601517663
25,0.922998995033317
26,0.8910961354607889
27,0.9010483058363342
28,0.8897140611506524
29,0.8976535165738069
30,0.8791714340460697
31,0.8788315103317211
32,0.8884797619076491
33,0.8899641540666589
34,0.8896636993302164
35,0.8889872254683604
36,0.8866293646919572
37,0.9017569693068934
38,0.9046522476673227
39,0.8886578656473519
40,0.8774421874496349
41,0.8843373571521439
42,0.8677186084132996
43,0.8710745895073873
44,0.8759052851053993
45,0.8689381727281903
46,0.8389370955293459
47,0.8482824372529798
48,0.8375902351067398
49,0.8450667467397366
50,0.8276661450803691
51,0.8273506343111864
52,0.8364123339683087
53,0.8378208019793125
54,0.8374923434097603
55,0.8368825609400595
56,0.8346749528019989
57,0.8489028973691021
58,0.851586082200383
59,0.8365230183247824
60,0.8259655061244228
61,0.8324388654997394
62,0.8286731042156705
63,0.8318857457835275
64,0.8365034428655969
65,0.8298439027924053
66,0.8011964595669793
67,0.8101078017674167
68,0.7998903338699248
69,0.8070377667582309
70,0.7904192634178591
71,0.7901286944639173
72,0.7987824402708669
73,0.800140900418951
74,0.7998148051831204
75,0.7992379845871171
76,0.7971274665787337
77,0.8107256933661688
78,0.8132792070696032
79,0.7988930690046941
80,0.7888024566128476
81,0.7949894701420998
82,0.7913885086874757
83,0.7997761642546167
84,0.8042106027165744
85,0.7978059134503658
86,0.7702496595225584
87,0.7788397648288499
88,0.7690322022397762
89,0.7758962243721017
90,0.759920727081808
91,0.7596272614214165
92,0.7679562750376628
93,0.7692413977352972
94,0.768961789081725
95,0.768393054557524
96,0.766366958062863
97,0.7794370565595173
98,0.7819194693455992
99,0.7680926627384664
100,0.7584001641144564
101,0.7643460824603505
102,0.7609007760625236
103,0.7689799719924821
104,0.7615872011331231
105,0.7555183766478063
106,0.7294247162968089
107,0.7375632504171477
108,0.7282843735320111
109,0.7347833920892429
110,0.7196590781641985
111,0.7193789052505879
112,0.7272659214880296
113,0.7284843204023363
114,0.7282354424138185
115,0.7277001865876643
116,0.7257996927446193
117,0.7381745732598413
118,0.74053116252967
119,0.7274396397082002
120,0.7182562573426693
121,0.7238693765012552
122,0.720622859054824
123,0.7282884988127223
124,0.7212795506084018
125,0.709928565637938
126,0.6853779924073302
127,0.6930427109190587
128,0.6843180148560736
129,0.6904202589959891
130,0.6761970066939392
131,0.6759275910475244
132,0.6833546948365606
133,0.6844759716753938
134,0.684236914933539
135,0.6837010643075503
136,0.6818555500250173
137,0.6934903681671359
138,0.6957242397784915
139,0.6834199781369503
140,0.67481093042302
141,0.6801447535623748
142,0.677064095075597
143,0.6842402021191993
144,0.67766327072518
145,0.6669855195176344
146,0.6232916080293879
147,0.6302474966619334
148,0.6223150570162318
149,0.6278700163221396
150,0.6149420431839723
151,0.6147024901474275
152,0.6214483429513298
153,0.6224824033023647
154,0.6222673948046634
155,0.6218021534620752
156,0.6201617359203004
157,0.6307440554796233
158,0.6327636051745219
159,0.621576582284976
160,0.6137346518471777
161,0.6185494622357568
162,0.6157672598468003
163,0.6223080489273256
164,0.6163256363586863
165,0.6066224410118702
166,0.5668940065480264
167,0.550973280060917
168,0.5440638317808333
169,0.5488989244267353
170,0.5376045858368587
171,0.5373593506945968
172,0.5432548300938608
173,0.5441166462516092
174,0.5439803045393392
175,0.543568295721638
176,0.542170290644581
177,0.5513900663212596
178,0.5531844875859944
179,0.5434109415218167
180,0.5365769943250475
181,0.5407439830350189
182,0.5383457337105987
183,0.5441011032886985
184,0.5388502709215087
185,0.5303664709720636
186,0.49558601723814927
187,0.48162122541163876
188,0.4863517762282512
189,0.4907049436385589
190,0.4805944101960339
191,0.48043072265839004
192,0.4856998775837088
193,0.48653670352066986
194,0.4863211951571214
195,0.4859608189160851
196,0.4846456800939561
197,0.4929300134434645
198,0.4944806760265467
199,0.4857305923545778
200,0.47959072101369826
201,0.48338755999744204
202,0.4811786544391046
