,0
0,1.0149307430144119
1,1.0102466021415004
2,0.9913046440033729
3,0.9952245309083697
4,1.0006373848384371
5,0.992777887981416
6,0.9585619523471123
7,0.9692036494031916
8,0.956907394540835
9,0.9654459023617135
10,0.945535343554049
11,0.9451498084822356
12,0.9554669897121707
13,0.9570126021983975
14,0.9564944415205587
15,0.9558317196033743
16,0.9532567451666328
17,0.9694863345490539
18,0.9724718979539303
19,0.9552448887695674
20,0.9432514842193923
21,0.9506759719037212
22,0.9462674000751382
23,0.9562231004774676
24,0.9471080160662321
25,0.9323101664708029
26,0.8715144419426554
27,0.8468868965368107
28,0.8552498215689879
29,0.8750510036490469
30,0.8643684189113181
31,0.8884612769463145
32,0.8587561638693363
33,0.8263131084055592
34,0.721763049526221
35,0.7664611166069305
36,0.7055290643537407
37,0.6028842003812931
38,0.7007842609686328
39,0.6158867828480379
40,0.647419006765582
41,0.5917629090632418
42,0.5972164682460901
43,0.5818183678436827
44,0.5505800354676328
45,0.6038384352191511
46,0.6427058747008884
47,0.666009104589547
48,0.6310465493230057
49,0.6478741756427183
50,0.6418693077278579
51,0.6277095311725155
52,0.6410952332784862
53,0.6166656452990765
54,0.6539809542876024
55,0.6769764348926411
56,0.6931351672961041
57,0.682071161506922
58,0.6934621069282586
59,0.6948361965722112
60,0.6765144138517166
61,0.6575864350635341
62,0.6714878367520735
63,0.6576804548665249
64,0.6636857599565936
65,0.662565364466882
66,0.633102511687235
67,0.6529318131822976
68,0.6827163269835465
69,0.7027141614477435
70,0.6765318335452658
71,0.6626176970175947
72,0.6732430662623323
73,0.6634799776992429
74,0.6561253923067066
75,0.6888911796306849
76,0.6804233647423409
77,0.6681284916746979
78,0.660652391275076
79,0.6766937978189144
80,0.6621345042868122
81,0.7002591125403557
82,0.6921280222279287
83,0.7004023403392541
84,0.7087594390043969
85,0.7024506620987194
86,0.7304723360511032
87,0.7202358377992678
88,0.7431651653154181
89,0.7281455714134794
90,0.734061696059068
91,0.7472023348670521
92,0.7762127830813396
93,0.7918002169611781
94,0.8058330632368723
95,0.8224174444854323
96,0.8478475820637418
97,0.8320612291174398
98,0.8080283717227497
99,0.7900191790618085
100,0.783372997456009
101,0.8018740808632159
102,0.8154874155365756
103,0.8213680646902654
104,0.8230554229341094
105,0.8109447735986106
106,0.8136497367329885
107,0.7937968418041716
108,0.8106170262321363
109,0.7943909527600351
110,0.8144779753405187
111,0.8013896444344842
112,0.8088743304841791
113,0.8154734543269129
114,0.8146259286403221
115,0.8424275097572521
116,0.8255412516032367
117,0.8436015029142439
118,0.8326549606280709
119,0.8434186069172516
120,0.8283315296552853
121,0.8499894165584194
